zeta,alpha0_nearest_c1_d1,alpha0_theory_c1_d1,alpha0_nearest_c1_d1.5,alpha0_theory_c1_d1.5,alpha0_nearest_c1_d2,alpha0_theory_c1_d2,alpha0_nearest_c1.5_d1,alpha0_theory_c1.5_d1,alpha0_nearest_c1.5_d1.5,alpha0_theory_c1.5_d1.5,alpha0_nearest_c1.5_d2,alpha0_theory_c1.5_d2,alpha0_nearest_c2_d1,alpha0_theory_c2_d1,alpha0_nearest_c2_d1.5,alpha0_theory_c2_d1.5,alpha0_nearest_c2_d2,alpha0_theory_c2_d2
0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.025,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.475,0.4755541714281071,0.475,0.47611267808877633,0.475,0.4766472527493626
0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.45198021966036517,0.45,0.45401736514550706,0.45,0.4559001141608968
0.075,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.425,0.42900071566973774,0.4375,0.43324421855838036,0.4375,0.43705172001274784
0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4125,0.4064078645318616,0.4125,0.4134756375387778,0.425,0.41965433362639437
0.125,0.5,0.5,0.5,0.5,0.5,0.5,0.4875,0.4825971461272325,0.4875,0.48468292911682764,0.4875,0.48632915188079273,0.3875,0.3840374726443001,0.4,0.3944838874963099,0.4,0.40340357461715626
0.15,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.45198724825927994,0.4625,0.4584510517530458,0.4625,0.4634385584644566,0.3625,0.3617535652222328,0.375,0.37609792930729724,0.3875,0.38808153338194207
0.175,0.5,0.5,0.5,0.5,0.5,0.5,0.425,0.4220038799849022,0.4375,0.4335837576021365,0.4375,0.4423322487631757,0.3375,0.3394386695503264,0.3625,0.35818429527566065,0.375,0.37352588062744907
0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.3875,0.3923747814892349,0.4125,0.40976978914181506,0.425,0.42264973081037427,0.3125,0.3169872981077807,0.3375,0.34063534779557814,0.3625,0.3596117967977924
0.225,0.4625,0.4611840939196753,0.475,0.4694722559466641,0.475,0.4748887316280943,0.3625,0.36288018489605056,0.3875,0.386777481289034,0.4,0.40413024424813093,0.3,0.29430131630365586,0.325,0.3233616922405753,0.35,0.3462407717663988
0.25,0.425,0.42264973081037427,0.4375,0.4401835094098877,0.45,0.4514162296451365,0.3375,0.33333333333333337,0.3625,0.3644274161716361,0.3875,0.3865780789559836,0.275,0.27128644612183095,0.3125,0.30628705663860334,0.3375,0.33333333333333337
0.275,0.3875,0.38411823794856026,0.4125,0.41187975388689924,0.425,0.429311909382351,0.3,0.3035679692369547,0.3375,0.34257582747761417,0.375,0.3698419368769357,0.25,0.2478494524410103,0.2875,0.28934470022113756,0.325,0.32082414293644446
0.3,0.35,0.3453463292920228,0.3875,0.38436071152698204,0.4125,0.4083673673510215,0.275,0.273429713509293,0.325,0.3211039765620187,0.35,0.3538019676196096,0.225,0.22389571919084872,0.275,0.2724748020091108,0.3125,0.30865858033264926
0.325,0.3,0.30611133351128905,0.3625,0.357463702391717,0.3875,0.38841818049083665,0.2375,0.24276967707029729,0.3,0.2999110377318247,0.3375,0.3383612607850468,0.2,0.19932701106669426,0.25,0.255622493603784,0.3,0.29679029916475064
0.35,0.2625,0.26620061429465725,0.325,0.33105300633457935,0.375,0.3693319881868721,0.2125,0.2114393417623126,0.275,0.2789091394173481,0.325,0.32344005769961937,0.175,0.1740392641587717,0.2375,0.23873632216358975,0.2875,0.2851794352310648
0.375,0.225,0.2254033307585166,0.3,0.3050125628933802,0.35,0.3510004003203203,0.175,0.17928610432171388,0.2625,0.25801977669246634,0.3125,0.30897169174253014,0.15,0.1479202710603852,0.225,0.2217670016874732,0.275,0.2737912651869989
0.4,0.1875,0.18350341907227397,0.275,0.27924077994387353,0.3375,0.33333333333333326,0.15,0.1461490623970566,0.2375,0.23717111874132024,0.3,0.2948996659469927,0.125,0.12084713039410411,0.2,0.20466635455687254,0.2625,0.26259518318365793
0.425,0.1375,0.1402730463789048,0.25,0.2536467158512523,0.3125,0.3162549415692545,0.1125,0.11185471205188213,0.2125,0.21629590947216837,0.275,0.2811755011388334,0.0875,0.09268332031561499,0.1875,0.1873863722751703,0.25,0.2515639063367423
0.45,0.1,0.09546596626670911,0.225,0.22814717665758366,0.3,0.29970062831908506,0.075,0.07621225765763728,0.2,0.19532976199098684,0.2625,0.2677571195261419,0.0625,0.06327523046644878,0.175,0.16987834083490605,0.2375,0.24067284767378405
0.475,0.05,0.04881026878865824,0.2,0.20266443123707534,0.2875,0.2836148066143618,0.0375,0.03900822297084394,0.175,0.17420970936118652,0.25,0.2546076086529929,0.0375,0.03244794448001731,0.15,0.15209198572015337,0.225,0.22989961340907983
0.5,0.0,0.0,0.175,0.17712434446770464,0.2625,0.2679491924311228,0.0,0.0,0.15,0.15287291161696348,0.2375,0.24169426078820833,0.0,0.0,0.1375,0.1339745962155614,0.225,0.21922359359558485
0.525,0.0,0.0,0.15,0.15145478821324876,0.25,0.252661483494943,0.0,0.0,0.1375,0.13125544147649482,0.225,0.2289878151429282,0.0,0.0,0.1125,0.11547008948016946,0.2125,0.20862562353811465
0.55,0.0,0.0,0.125,0.12558422698656246,0.2375,0.23771432227869416,0.0,0.0,0.1125,0.10929108367480522,0.2125,0.21646185165107557,0.0,0.0,0.1,0.09651797213155167,0.2,0.19808769914120428
0.575,0.0,0.0,0.1,0.09944039782888103,0.225,0.2230744717374502,0.0,0.0,0.0875,0.08691008804261313,0.2,0.20409229944221563,0.0,0.0,0.075,0.0770521507252302,0.1875,0.18759273344074423
0.6,0.0,0.0,0.075,0.07294901687515776,0.2125,0.20871215252207986,0.0,0.0,0.0625,0.06403781568934852,0.1875,0.1918570330339825,0.0,0.0,0.0625,0.0569995318353087,0.175,0.17712434446770475
0.625,0.0,0.0,0.05,0.046032450872732,0.2,0.1946005043014456,0.0,0.0,0.0375,0.040593211165378285,0.175,0.17973553619237892,0.0,0.0,0.0375,0.03627833614578879,0.1625,0.16666666666666663
0.65,0.0,0.0,0.0125,0.01860829183986612,0.175,0.18071514354354368,0.0,0.0,0.0125,0.01648702063670482,0.1625,0.16770861831993578,0.0,0.0,0.0125,0.014796026875238288,0.15,0.15620417957520594
0.675,0.0,0.0,0.0,0.0,0.1625,0.1670337970188096,0.0,0.0,0.0,0.0,0.15,0.15575817176155837,0.0,0.0,0.0,0.0,0.15,0.14572154851906016
0.7,0.0,0.0,0.0,0.0,0.15,0.1535359952768478,0.0,0.0,0.0,0.0,0.15,0.1438669609803611,0.0,0.0,0.0,0.0,0.1375,0.13520347279733747
0.725,0.0,0.0,0.0,0.0,0.1375,0.1402028139946525,0.0,0.0,0.0,0.0,0.1375,0.13201843642916755,0.0,0.0,0.0,0.0,0.125,0.12463453729106222
0.75,0.0,0.0,0.0,0.0,0.125,0.12701665379258298,0.0,0.0,0.0,0.0,0.125,0.12019656731671569,0.0,0.0,0.0,0.0,0.1125,0.1139990636706174
0.775,0.0,0.0,0.0,0.0,0.1125,0.11396105113220534,0.0,0.0,0.0,0.0,0.1125,0.10838568847078489,0.0,0.0,0.0,0.0,0.1,0.10328095742704302
0.8,0.0,0.0,0.0,0.0,0.1,0.10102051443364424,0.0,0.0,0.0,0.0,0.1,0.09657035722297691,0.0,0.0,0.0,0.0,0.0875,0.0924635468163375
0.825,0.0,0.0,0.0,0.0,0.0875,0.08818038070993861,0.0,0.0,0.0,0.0,0.0875,0.08473521674303142,0.0,0.0,0.0,0.0,0.0875,0.08152940947742904
0.85,0.0,0.0,0.0,0.0,0.075,0.07542668890493687,0.0,0.0,0.0,0.0,0.075,0.07286486257570601,0.0,0.0,0.0,0.0,0.075,0.07046018194033454
0.875,0.0,0.0,0.0,0.0,0.0625,0.06274606680622785,0.0,0.0,0.0,0.0,0.0625,0.06094370930642634,0.0,0.0,0.0,0.0,0.0625,0.05923634643994724
0.9,0.0,0.0,0.0,0.0,0.05,0.05012562893380057,0.0,0.0,0.0,0.0,0.05,0.04895585431746008,0.0,0.0,0.0,0.0,0.05,0.04783698832879768
0.925,0.0,0.0,0.0,0.0,0.0375,0.03755288321391248,0.0,0.0,0.0,0.0,0.0375,0.0368849354981613,0.0,0.0,0.0,0.0,0.0375,0.03623951584399521
0.95,0.0,0.0,0.0,0.0,0.025,0.02501564456182237,0.0,0.0,0.0,0.0,0.025,0.024713979535228248,0.0,0.0,0.0,0.0,0.025,0.024419331891220253
0.975,0.0,0.0,0.0,0.0,0.0125,0.012501953735586824,0.0,0.0,0.0,0.0,0.0125,0.012425237015804669,0.0,0.0,0.0,0.0,0.0125,0.012349444661321485
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
